Date,Open,High,Low,Close,Volume,Market Cap,,,
Feb-22-2015,244.534,246.392,233.851,236.145,13857649.31,3348417841,,,
Feb-21-2015,243.779,255.32,243.184,244.376,17709515.14,3393934145,,,
Feb-20-2015,240.283,247.101,239.299,244.077,23921576.39,3368277361,,,
Feb-19-2015,236.326,242.672,235.592,240.701,21984973.96,3298162603,,,
Feb-18-2015,243.61,244.251,232.34,236.216,26480426.74,3321469202,,,
Feb-17-2015,233.843,245.775,232.314,243.452,25185610.8,3298455694,,,
Feb-16-2015,234.825,239.521,229.022,233.71,46726012.5,3245383344,,,
Feb-15-2015,257.321,265.611,227.684,233.704,53506791.29,3463475257,,,
Feb-14-2015,235.427,259.808,235.427,257.747,42832044.41,3404528656,,,
Feb-13-2015,221.764,240.259,221.262,235.488,29902353.82,3208498044,,,
Feb-12-2015,219.185,222.199,217.614,221.609,15482650,3038015093,,,
Feb-11-2015,219.732,223.406,218.074,219.004,20429250.87,3051893764,,,
Feb-10-2015,220.11,221.807,215.332,220.053,24379975.69,3020713043,,,
Feb-09-2015,223.412,223.977,217.019,219.838,21018298.26,3054340640,,,
Feb-08-2015,227.754,229.438,221.077,223.3,19479428.47,3107583892,,,
Feb-07-2015,222.266,230.299,222.266,227.72,22751003.14,3126088565,,,
Feb-06-2015,217.111,230.51,216.232,222.236,25214846.34,3046082849,,,
Feb-05-2015,226.853,239.405,214.725,216.969,24377348.26,3089400041,,,
Feb-04-2015,227.268,230.058,221.113,226.147,32906926.92,3114947808,,,
Feb-03-2015,238.229,245.957,224.483,227.129,38142432.99,3256028519,,,
Feb-02-2015,226.972,242.175,222.659,238.469,29859298.26,3122146130,,,
Feb-01-2015,217.464,231.574,212.015,226.998,26177301.39,3003562812,,,
Jan-31-2015,226.425,233.504,216.309,217.8,23533107.02,3140957292,,,
Jan-30-2015,233.513,242.851,225.839,225.839,30103906.25,3190990552,,,
Jan-29-2015,233.915,238.706,220.712,233.521,42532605.9,3186958131,,,
Jan-28-2015,263.475,266.535,227.046,233.651,34175668.29,3481142863,,,
Jan-27-2015,273.473,275.48,250.653,263.918,70461913.89,3587750171,,,
Jan-26-2015,253.718,309.384,253.718,273.388,80132512.85,3900356479,,,
Jan-25-2015,247.847,255.074,243.89,253.477,31492829.51,3410510931,,,
Jan-24-2015,232.879,248.21,230.022,247.864,21773208.01,3263833383,,,
Jan-23-2015,233.406,234.845,225.196,232.909,25792802.43,3161637648,,,
Jan-22-2015,226.897,237.019,226.434,232.832,40287801.74,3198342837,,,
Jan-21-2015,211.315,227.788,211.212,226.878,20850395.12,2953786369,,,
Jan-20-2015,214.861,215.241,205.153,211.258,21699269.44,2871173537,,,
Jan-19-2015,210.339,216.728,207.318,214.761,24348881.94,2924412496,,,
Jan-18-2015,199.26,218.695,194.506,210.591,25334091.67,2840657480,,,
Jan-17-2015,208.097,211.731,194.875,199.279,31657332.75,2754969723,,,
Jan-16-2015,209.844,221.591,199.771,207.832,59276175.35,2894865279,,,
Jan-15-2015,178.103,229.067,176.897,210.482,98351723.61,2809545036,,,
Jan-14-2015,225.861,225.861,171.51,178.795,83898494.77,2690696719,,,
Jan-13-2015,267.796,268.277,219.906,222.973,46667544.1,3285524907,,,
Jan-12-2015,265.66,272.203,265.2,267.94,19900580.56,3700869207,,,
Jan-11-2015,274.796,279.638,265.039,267.88,14941563.54,3744726130,,,
Jan-10-2015,287.303,288.127,273.966,274.697,19179360.95,3788617935,,,
Jan-09-2015,283.349,291.114,280.533,290.408,19266206.6,3879409276,,,
Jan-08-2015,294.337,294.337,282.175,283.5,22995271.88,3950542205,,,
Jan-07-2015,286.189,298.754,283.079,293.909,24491203.47,3940542175,,,
Jan-06-2015,274.474,287.553,272.696,285.835,29156465.85,3790903301,,,
Jan-05-2015,264.195,278.341,264.195,274.57,49619788.89,3740067881,,,
Jan-04-2015,281.082,287.23,257.612,264.201,50044486.46,3764461563,,,
Jan-03-2015,315.032,315.15,284.234,284.234,16127051.92,4156089450,,,
Jan-02-2015,314.249,315.839,313.565,315.207,7154870.382,4302091903,,,
